,Unnamed: 0,victim.victim_id,attribute.confidentiality.data_disclosure,victim.orgsize,victim.country,action.social.variety,timeline.incident.day,timeline.incident.month,timeline.incident.year,action.error.variety,action.hacking.variety,action.malware.variety,action.misuse.variety,action.physical.variety,victim.state,victim.secondary.victim_id,action.environmental.variety,targeted,incident_id,reference,confidence,victim.employee_count,victim.government,victim.industry,victim.region,victim.revenue.amount,victim.revenue.iso_currency_code,impact.iso_currency_code,impact.loss.amount,impact.loss.max_amount,impact.loss.min_amount,impact.overall_amount,impact.overall_max_amount,impact.overall_min_amount,impact.overall_rating,security_incident,victim.industry2,victim.industry3,victim.orgsize.1,code,NAICS industry
35,35,pdq,Yes,Unknown,US,,19.0,5.0,2018,,Unknown,RAM scraper,,,FL,,,Unknown,44293100-d2f9-11e8-9b3a-b50b161886e9,https://www.wfla.com/news/local-news/pdq-victim-of-cyber-attack-customer-names-credit-card-info-may-have-been-stolen/1257027748 ;https://www.bizjournals.com/tampabay/news/2018/07/09/pdq-faces-lawsuit-over-data-breach.html ;http://www.azfamily.com/story/38490568/pdq-chicken-restaurant-warns-customers-of-a-data-breach,Low,101 to 1000,,722513,19021,,,,,,,,,,,Confirmed,72,722,Unknown,722513,Limited-Service Restaurants
37,37,united states department of veterans affairs,Yes,Unknown,US,,6.0,1.0,2012,Misdelivery,,,,,MI,,,,010B6206-1B95-4EE5-90B6-B439C5714AF6,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
38,38,united states department of veterans affairs,Yes,Unknown,US,,13.0,5.0,2010,,,,Privilege abuse,,AZ,,,,010DF8F5-3FAC-4C67-B220-A814CCE64D2F,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
40,40,uber,Yes,Unknown,US,,,10.0,2016,,Unknown,,,,CA,,,Unknown,4d331ca0-0b73-11e8-827c-bba53cbad290,http://katu.com/news/nation-world/report-uber-covered-up-cyber-attack-that-exposed-data-from-57-million-people; https://www.bloomberg.com/news/articles/2017-11-21/uber-concealed-cyberattack-that-exposed-57-million-people-s-data; https://www.reuters.com/article/us-uber-cyber-payment-exclusive/exclusive-uber-paid-20-year-old-florida-man-to-keep-data-breach-secret-sources-idUSKBN1E101C,High,10001 to 25000,,485300,19021,,,USD,,,,100000.0,,,Insignificant,Confirmed,48,485,Unknown,,
46,46,rose medical center,Yes,Unknown,US,,28.0,6.0,2013,Disposal error,,,,,CO,,,,01444861-9D3E-4207-839D-F3B7D1AB4A89,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/HealthInfoBreaches.csv; http://www.phiprivacy.net/and-yet-9-more-breaches-added-to-hhss-breach-tool/,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
50,50,leaffilter,Yes,Unknown,US,Phishing,,,2018,,Use of stolen creds,,,,OH,,,Opportunistic,97b72df0-2819-11eb-8365-4f57e2156a07,https://www.businesswire.com/news/home/20181107005636/en/Federman-Sherwood-Announces-Filing-Class-Action-Lawsuit,High,101 to 1000,,238390,19021,,,,,,,,,,,Confirmed,23,238,Unknown,238390,Other Building Finishing Contractors
51,51,aptean,Yes,Unknown,US,,28.0,6.0,2013,,Unknown,,,,GA,,,,016E5701-2427-494B-BD06-F9CE8E909F61,http://www.oag.state.md.us/idtheft/Breach%20Notices/itu-231928.pdf,,1001 to 10000,,541511,19021,,,,,,,,,,Unknown,Confirmed,54,541,Unknown,541511,Custom Computer Programming Services
58,58,kmart,Yes,Unknown,US,,5.0,8.0,2012,Gaffe,,,,,WV,,,,018F00D3-5840-438D-96D9-671327AE7D9F,http://wvrecord.com/news/267187-woman-accuses-kmart-of-hipaa-violation,,25001 to 50000,,452111,19021,,,,,,,,,,Unknown,Confirmed,45,452,Unknown,,
60,60,new york times,Yes,Unknown,US,,,1.0,2013,,Unknown,,,,NY,Wall Street Journal,,,0199FEF0-3636-4F0F-8A7B-6082E2774DB5,"http://www.cnn.com/2013/01/31/tech/china-nyt-hacking/index.html, http://www.nytimes.com/2013/01/31/technology/chinese-hackers-infiltrate-new-york-times-computers.html?partner=rss&emc=rss&_r=0, http://www.zdnet.com/cn/new-york-times-breached-by-chinese-hackers-over-four-months-7000010604/,http://www.nytimes.com/2013/01/31/technology/chinese-hackers-infiltrate-new-york-times-computers.html?hp&_r=1&",,1001 to 10000,,511110,19021,,,,,,,,,,,Confirmed,51,511,Unknown,,
64,64,united states department of veterans affairs,Yes,Unknown,US,,16.0,3.0,2012,Misdelivery,,,,,TX,,,,01C432FA-4671-4E79-96EA-50EA358082A6,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
65,65,montana department of public health and human services,Yes,Unknown,US,,,2.0,2015,Publishing error,,,,,MO,,,,82902FE5-A498-4159-B2BC-38AC5C1A2884,http://www.chicagotribune.com/lifestyles/health/sns-bc-mt--records-breach-20160714-story.html,,101 to 1000,Unknown,921110,19021,,,,,,,,,,Unknown,Confirmed,92,921,Unknown,921110,Executive Offices
80,80,american senior communities,Yes,Unknown,US,Phishing,,1.0,2017,,,,,,IN,,,Targeted,5fce78c0-e35d-11e7-bf7a-0771e1cc9602,http://www.indystar.com/story/news/crime/2017/02/20/american-senior-communities-falls-victim-w-2-scam/98161910/,High,10001 to 25000,,623110,19021,,,,,,,,,,,Confirmed,62,623,Unknown,623110,Nursing Care Facilities (Skilled Nursing Facilities)
82,82,united states department of veterans affairs,Yes,Unknown,US,,16.0,5.0,2013,Misdelivery,,,,,ME,,,,02B76CA7-52A8-4684-9C68-1F79859A95A4,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
84,84,united states department of veterans affairs,Yes,Unknown,US,,8.0,12.0,2010,,,,Privilege abuse,,MN,,,,02BC01D3-E545-4CD8-AD23-1E0148403985,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
88,88,experian plc,Yes,Unknown,US,,15.0,9.0,2015,,Unknown,,,,,T-Mobile US,,,02CC4603-43FF-4632-8D25-E5F00976A99C,http://hosted.ap.org/dynamic/stories/U/US_EXPERIAN_T_MOBILE_DATA_BREACH?SITE=SCAND&SECTION=HOME&TEMPLATE=DEFAULT; http://www.reuters.com/article/2015/10/01/us-tmobile-dataprotection-idUSKCN0RV5PL20151001?feedType=RSS&feedName=technologyNews; http://www.wired.com/2015/10/hack-brief-hackers-steal-15m-t-mobile-customers-data-experian/; http://www.wirelessweek.com/news/2015/11/experian-posts-20m-charge-related-t-mobile-data-breach;http://www.wirelessweek.com/news/2015/10/t-mobile-hit-lawsuits-wake-experian-hack,,10001 to 25000,,561450,19021,,,,,,,20000000.0,,,Unknown,Confirmed,56,561,Unknown,561450,Credit Bureaus
90,90,group health cooperative,Yes,Unknown,US,,16.0,9.0,2013,,,,,,WA,,,,02DEA9F3-5F14-4983-832B-62858B8AC982,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/HealthInfoBreaches.csv; http://www.phiprivacy.net/and-yet-9-more-breaches-added-to-hhss-breach-tool/,,101 to 1000,,524114,19021,,,,,,,,,,Unknown,Confirmed,52,524,Unknown,524114,Direct Health and Medical Insurance Carriers
91,91,united states department of veterans affairs,Yes,Unknown,US,,7.0,1.0,2011,Misdelivery,,,,,PR,,,,02E3A940-C052-40FE-9E70-996E84F0F59E,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
94,94,flowers hospital,Yes,Unknown,US,,,6.0,2013,,,,Possession abuse,,AL,,,,03003650-9E97-4AF9-AEB6-90AF0409AB2D,http://www.dothanfirst.com/story/d/story/flowers-hospital-personal-identity-stolen-dothan-a/32968/yMq8-j68U0Oq2YJ3KhpOtw,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
99,99,united states department of veterans affairs,Yes,Unknown,US,,23.0,9.0,2014,Misdelivery,,,,,CA,,,,031BA2F7-8413-4886-9FE0-D5CCB67718A9,http://vcdb.org/pdf/va-security-sep-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
102,102,trion worlds,Yes,Unknown,US,,,12.0,2011,,Unknown,,,,CA,,,,032C679A-8A51-4826-B131-CB961BE4573F,http://www.databreaches.net/trion-world-hacked/; http://www.zam.com/story.html?story=28613;http://massively.joystiq.com/2011/12/22/trion-worlds-customer-database-hacked-no-evidence-credit-card/; http://doj.nh.gov/consumer/security-breaches/documents/trion-20111221.pdf,,101 to 1000,,511210,19021,,,,,,,,,,Unknown,Confirmed,51,511,Unknown,,
113,113,volusion,Yes,Unknown,US,,7.0,9.0,2019,,Exploit vuln,Export data,,,,,,Unknown,b7413570-ee3a-11eb-a0c0-efc7cda0e23f,https://www.zdnet.com/article/card-data-from-the-volusion-web-skimmer-incident-surfaces-on-the-dark-web/,High,101 to 1000,,454110,19021,,,,,,,,,,,Confirmed,45,454,Unknown,,
120,120,florida department of juvenile justice,Yes,Unknown,US,,2.0,1.0,2013,,,,,Theft,FL,,,,03B93032-4056-4E98-81D5-7E10FFB47FD1,http://www.palmbeachpost.com/news/news/crime-law/state-investigates-security-breach-at-department-o/nTtQB/,,1001 to 10000,Unknown,922140,19021,,,,,,,,,,Unknown,Confirmed,92,922,Unknown,922140,Correctional Institutions
130,130,san diego unified school district,Yes,Unknown,US,Phishing,,1.0,2018,,,,,,CA,,,Unknown,3d709d80-143a-11e9-9b0e-db2459a65ffe,https://www.kusi.com/san-diego-unified-school-district-data-breach-could-impact-500000-students/; https://www.sandiegounified.org/datasafety,High,10001 to 25000,,611110,19021,,,,,,,,,,,Confirmed,61,611,Unknown,611110,Elementary and Secondary Schools
133,133,centers for medicare medicaid services,Yes,Unknown,US,,,,2014,Misconfiguration,,,,,MD,,,,0404DE5A-E7C0-495A-8827-05BA5FA8DBA1,http://insurancenewsnet.com/oarticle/2014/09/08/healthcaregov-breached-no-data-stolen-a-552719.html#.VBB1qlaFr7Q; http://thehill.com/policy/healthcare/216700-report-healthcaregov-was-hacked-in-july; http://dailycaller.com/2014/09/18/issa-confirms-that-healthcare-gov-revealed-customers-personal-information/,,1001 to 10000,Unknown,923120,19021,,,,,,,,,,Unknown,Confirmed,92,923,Unknown,923120,Administration of Public Health Programs
135,135,getme,Yes,Unknown,US,,9.0,5.0,2016,Publishing error,,,,,TX,,,,836704A6-479C-47D3-8427-7B7AE941C662,http://rideshareacademy.com/getme-disaster-austin-tx/,,101 to 1000,,485310,19021,,,,,,,,,,Unknown,Confirmed,48,485,Unknown,485310,Taxi and Ridesharing Services
140,140,united states department of veterans affairs,Yes,Unknown,US,,13.0,4.0,2015,Misdelivery,,,,,NC,,,,18086BDC-29DD-46F7-8A05-A372C392CA95,http://vcdb.org/pdf/va-security-apr-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
142,142,united states department of veterans affairs,Yes,Unknown,US,,4.0,2.0,2013,Misdelivery,,,,,CT,,,,043C37EB-930B-4902-90AC-8C9AD3973A79,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
143,143,united states department of veterans affairs,Yes,Unknown,US,,20.0,11.0,2012,,,,Privilege abuse,,GA,,,,043ED164-6730-459A-B7D9-D6CBF4C37754,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
144,144,teachers insurance and annuity association college retirement equities fund,Yes,Unknown,US,,,3.0,2012,,Use of stolen creds,,,,NY,,,,0442278A-925C-4C6B-913C-324E11BFB454,"http://www.justice.gov/usao/nj/Press/files/Sharapka,%20Oleksiy,%20et%20al.%20Arrest%20News%20Release.html; http://www.justice.gov/usao/nj/Press/files/pdffiles/2013/Sharapka,%20Oleksiy%20et%20al.%20Amended%20Complaint.pdf; https://threatpost.com/feds-bust-cybercrime-ring-targeting-payroll-financial-firms;",,1001 to 10000,,525110,19021,,,,,,,,,,Unknown,Confirmed,52,525,Unknown,525110,Pension Funds
152,152,united states department of veterans affairs,Yes,Unknown,US,,6.0,10.0,2014,Other,,,,,HI,,,,0479EB69-D1BA-40D1-BD58-A32291839A2F,http://vcdb.org/pdf/va-security-oct-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
155,155,united states department of veterans affairs,Yes,Unknown,US,,15.0,1.0,2010,Misdelivery,,,,,NE,,,,0489AA96-3810-4F15-9BA2-FBF20598FFBA,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
157,157,jackson health system,Yes,Unknown,US,,,,2011,,,,Privilege abuse,,FL,,,,F77F05C3-62C6-4A68-AE01-6C0F48D46F10,http://www.whec.com/article/stories/s4042759.shtmlhttp://www.miamiherald.com/news/health-care/article59339038.html; http://www.miamiherald.com/news/health-care/article59339038.html,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
168,168,guidance residential,Yes,Unknown,US,,,,2016,,,,Privilege abuse,,MI,,,,9BBEE166-123E-4B7C-B3E6-35CDC29A4F2A,http://www.prnewswire.com/news-releases/university-bank-of-ann-arbor-liable-for-willful-and-malicious-trade-secret-misappropriation-300288118.html,,101 to 1000,,522110,19021,,,,,,,,,,Unknown,Confirmed,52,522,Unknown,522110,Commercial Banking
173,173,united states department of veterans affairs,Yes,Unknown,US,,31.0,3.0,2014,Misdelivery,,,,,GA,,,,05291685-2980-48B9-9C99-8C03F9E56035,http://vcdb.org/pdf/va-security-apr-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
174,174,trihealth,Yes,Unknown,US,,,11.0,2015,Malfunction,,,,,OH,,,,919fde00-e37d-11e7-8742-2bc46bd10713,https://www.databreaches.net/trihealth-notifies-1126-patients-after-software-glitch-sends-statements-to-old-addresses/,High,10001 to 25000,,621111,19021,,,,,,,,,,,Confirmed,62,621,Unknown,621111,Offices of Physicians (except Mental Health Specialists)
181,181,united states department of veterans affairs,Yes,Unknown,US,,21.0,3.0,2013,,,,Privilege abuse,,NY,,,,056FB58B-0C7A-4BEF-B444-736132FB5B14,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
186,186,onewest bank fsb,Yes,Unknown,US,,1.0,1.0,2011,,Unknown,,,,CA,,,,05902E48-26E8-482A-BA13-B74423DE38F3,"https://oag.ca.gov/system/files/Network%20Intrusion_Breach%20Notification%20on_0.pdf, http://www.databreaches.net/?p=27468",,101 to 1000,,522120,19021,1350000000.0,USD,,,,,,,,Unknown,Confirmed,52,522,Unknown,,
188,188,united states department of veterans affairs,Yes,Unknown,US,,8.0,4.0,2011,Misdelivery,,,,,MN,,,,0591A940-E8E2-4CB1-ACA7-72E80B553B8B,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
193,193,united states department of veterans affairs,Yes,Unknown,US,,15.0,9.0,2011,,,,Privilege abuse,,OR,,,,059DFC0C-3D83-48D0-980A-8E9536090C45,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
202,202,lake county sheriffs office,Yes,Unknown,US,,28.0,4.0,2012,,Brute force,,,,FL,,,,05D8E8E5-B90F-41B5-8CCB-64D078236177,"http://www.privacyrights.org/data-breach?order=field_breach_total_value&sort=asc&title=; http://news.softpedia.com/newsImage/FBI-Investigates-Lake-County-Sheriff-s-Office-Hack-2.png/; http://www.sun-sentinel.com/news/local/breakingnews/os-hacking-site-lake-sheriffs-office-20120505,0,58306.story",,101 to 1000,Unknown,922120,19021,,,,,,,,,,Unknown,Confirmed,92,922,Unknown,922120,Police Protection
210,210,nc at university,Yes,Unknown,US,,27.0,9.0,2017,Misdelivery,,,,,NC,,,,31d58050-a774-11e7-ae18-bd2df8850f54,http://myfox8.com/2017/09/28/some-nc-at-students-personal-information-leaked-in-security-incident/,High,101 to 1000,,611310,19021,,,,,,,,,,,Confirmed,61,611,Unknown,611310,"Colleges, Universities, and Professional Schools "
213,213,grand sierra resort,Yes,Unknown,US,,19.0,2.0,2014,,Unknown,Unknown,,,NV,,,,72B82612-2DC6-447B-BD42-6DDFBBE2E2BD,http://www.databreaches.net/grand-sierra-resort-guest-payment-cards-breached-in-2014-and-again-in-2015/,,1001 to 10000,,721110,19021,,,,,,,,,,Unknown,Confirmed,72,721,Unknown,721110,Hotels (except Casino Hotels) and Motels
217,217,lexisnexis,Yes,Unknown,US,,10.0,4.0,2013,,Unknown,Capture app data,,,,,,,064F5887-C2DA-4139-B3AA-D55906F8C30A,http://krebsonsecurity.com/2013/09/data-broker-giants-hacked-by-id-theft-service/ (20130925),,1001 to 10000,,519190,19021,,,,,,,,,,Unknown,Confirmed,51,519,Unknown,,
218,218,united states department of veterans affairs,Yes,Unknown,US,,28.0,11.0,2011,Loss,,,,,NE,,,,0661A153-8EC2-4759-9FD6-13B3C7751C80,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
220,220,sirius xm radio inc,Yes,Unknown,US,,19.0,3.0,2012,,,,Privilege abuse,,NY,,,,067174D2-AA1F-4516-BED6-647C04802863,http://doj.nh.gov/consumer/security-breaches/documents/sirius-xm-radio-20120406.pdf,,1001 to 10000,,515111,19021,3400000000.0,USD,,,,,,,,Unknown,Confirmed,51,515,Unknown,,
225,225,united states department of veterans affairs,Yes,Unknown,US,,12.0,4.0,2013,,,,Privilege abuse,,LA,,,,06951413-138D-4CDC-8A66-C3FA0082FCBD,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
227,227,united states department of veterans affairs,Yes,Unknown,US,,23.0,12.0,2010,,,,,,VT,,,,06B58D91-96BE-44F1-9AF9-9D7DF681EA47,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
228,228,united states department of veterans affairs,Yes,Unknown,US,,27.0,2.0,2013,,,,,Theft,OR,,,,06B76E45-468B-4B6A-B1A8-6C11AF3BD562,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
230,230,united states department of veterans affairs,Yes,Unknown,US,,31.0,8.0,2012,,,,Privilege abuse,,NM,,,,06C79BD5-90B5-4037-8872-24BEACE5D76B,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
232,232,university of new haven,Yes,Unknown,US,,,,2013,Misdelivery,,,,,CT,,,,06CDBA93-88CE-4B7A-A4A3-C9418E2766A6,http://www.oag.state.md.us/idtheft/Breach%20Notices/itu-234933.pdf,,101 to 1000,,611310,19021,,,,,,,,,,Unknown,Confirmed,61,611,Unknown,611310,"Colleges, Universities, and Professional Schools "
233,233,bolton nhs foundation trust,Yes,Unknown,US,,,5.0,2011,Loss,,,,,,,,,06CF3C1B-5941-41EB-8EED-D549FEE8F538,http://www.thisislancashire.co.uk/news/10343269.Hospital_faces___500_000_fine_over_lost_patient_notes/,,1001 to 10000,,621498,19021,,,,,,,,,,Unknown,Confirmed,62,621,Unknown,621498,All Other Outpatient Care Centers
241,241,united states department of veterans affairs,Yes,Unknown,US,,17.0,10.0,2012,Misdelivery,,,,,MI,,,,06EEA2A7-6CCC-4EB0-AF24-133E74851E08,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
242,242,randor township school disctrict,Yes,Unknown,US,,,,2013,Publishing error,,,Net misuse,,PA,,,,07093C37-7967-460C-9497-24CD42A55E73,http://mainlinemedianews.com/articles/2013/12/13/main_line_suburban_life/news/doc52ab1e17ced8d552734307.txt?viewmode=fullstory,,101 to 1000,,611110,19021,,,,,,,,,,Unknown,Confirmed,61,611,Unknown,611110,Elementary and Secondary Schools
248,248,childrens national health system,Yes,Unknown,US,Phishing,26.0,12.0,2014,,,Unknown,,,WI,,,,0734A6CA-CCF7-413F-9BCD-03D36FACDEDE,http://childrensnational.org/notice; http://www.databreaches.net/childrens-national-health-system-notified-18000-patients-after-employees-fell-for-phishing-scheme/; http://www.bizjournals.com/washington/blog/2015/07/childrens-national-medical-center-faces-suit-for.html,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
251,251,employees retirement system of texas,Yes,Unknown,US,,,,2018,Misconfiguration,,,,,TX,,,,f7853b60-146f-11e9-9b0e-db2459a65ffe,https://www.databreaches.net/tx-statement-and-frequently-asked-questions-about-the-2018-ers-online-security-incident/; https://www.govinfosecurity.com/texas-retirement-agency-portal-breach-affects-125-million-a-11638?rf=2018-10-25_ENEWS_SUB_GIS_Slot1&mkt_tok=eyJpIjoiWlRZeE56QmhaRFE1WWpSaSIsInQiOiJPWlZqYktjQWtjbGJ4b3c2Yk96OStVYkREUVwvMFhQVVNUN0lxVVlGQUQwcUFxVEJ0NVlaemN4SlBoNGRqTHByaDBiZ0dwS2tFR240WEdIU2ltUTZ2OTFSa0dkbng2ajV2cmxHa1M4KzBuamZIUmprQWpKQVFGTXhRVG16SVUrTWwifQ%3D%3D,High,101 to 1000,,524292,19021,,,,,,,,,,,Confirmed,52,524,Unknown,524292,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds
252,252,united states department of veterans affairs,Yes,Unknown,US,,7.0,10.0,2011,Loss,,,,,MN,,,,0750A022-E305-4DBA-BCEB-EB2BAE48902B,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
